Latitude,Longitude,landslide
27.579,91.868639,1
27.58006,91.97728,1
27.586694,91.871444,1
27.587417,91.886944,1
27.587417,91.886944,1
27.587611,91.894167,1
27.589,91.873194,1
27.58925,91.795667,1
27.589417,91.861444,1
27.589889,91.881194,1
27.590556,91.867667,1
27.590639,91.876806,1
27.590639,91.876806,1
27.591389,91.9025,1
27.591528,91.880444,1
27.591806,91.865028,1
27.591833,91.865056,1
27.592639,91.867528,1
27.592667,91.866222,1
27.593139,91.873889,1
27.593361,91.879444,1
27.594833,91.866417,1
27.594861,91.866444,1
27.595167,91.895444,1
27.596278,91.894333,1
27.596639,91.878972,1
27.596639,91.878972,1
27.599,91.876528,1
27.599806,91.876111,1
27.690111,93.632556,1
27.87469,96.35986,1
27.87825,96.36614,1
27.89311,96.36336,1
27.90417,96.35869,1
27.90467,96.35917,1
27.90475,96.34811,1
27.90581,96.35933,1
27.90664,96.35964,1
27.90772,96.34517,1
27.90814,96.36028,1
27.91164,96.34269,1
27.91636,96.33392,1
27.91647,96.33161,1
27.91669,96.33833,1
27.91886,96.33156,1
27.91897,96.33108,1
27.93967,96.38097,1
27.94083,96.38161,1
27.94903,96.39158,1
27.95603,96.40267,1
27.95672,96.39697,1
27.95964,96.40178,1
27.96325,96.40097,1
27.96756,96.40189,1
27.96756,96.40214,1
27.968,96.39822,1
27.98333,96.40433,1
27.98728,96.41208,1
27.98747,96.41133,1
28.00611,96.42872,1
28.01661,96.44172,1
28.01781,96.44275,1
28.01992,96.443,1
28.05939,96.48397,1
28.05989,96.46281,1
28.05989,96.46281,1
28.05997,96.48664,1
28.06006,96.44636,1
28.06131,96.49256,1
28.06244,96.49775,1
28.063,96.49914,1
28.06356,96.50075,1
28.06964,96.50025,1
28.08014,96.52356,1
28.08019,96.54483,1
28.08061,96.51294,1
28.09311,96.53622,1
28.10714,96.54489,1
28.11142,96.54528,1
28.11594,96.54689,1
28.11781,96.54906,1
28.14116,95.27472,1
28.14251,95.27439,1
28.14531,96.54897,1
28.15292,96.53858,1
28.16206,96.53061,1
28.16939,96.52578,1
28.18439,96.53453,1
28.18525,96.53256,1
28.19597,96.53733,1
28.20867,96.53222,1
28.21483,96.53911,1
28.22328,96.55303,1
28.22381,96.53644,1
28.22408,96.55872,1
28.22797,96.54606,1
28.23153,96.54272,1
28.23969,96.52778,1
28.25203,96.54264,1
28.25897,96.54433,1
28.2625,96.5465,1
28.26522,96.57889,1
28.26786,96.55781,1
28.26814,96.55728,1
28.27378,96.57031,1
28.28386,96.58275,1
28.28778,96.57928,1
28.31211,96.61719,1
28.31658,96.61508,1
28.38919722,95.92776111,1
27.105253,93.825399,1
27.121136,93.762164,1
27.121136,93.762164,1
28.38919722,95.92776111,1
27.099285,93.614766,1
27.715081,94.692035,1
22.873558,92.755953,1
23.95,94.07,1
23.95,94.07,1
23.95,94.06,1
23.95,94.06,1
23.96,94.06,1
23.96,94.06,1
23.97,93.95,1
23.97,94.04,1
23.98,94.02,1
23.98,94.03,1
23.98,94.03,1
23.98,94.03,1
23.98,94.03,1
23.98,94.02,1
23.99,93.94,1
23.99,93.94,1
23.99,94.04,1
23.99,94.0,1
24.0,93.97,1
24.0,93.98,1
24.0,93.99,1
24.0,94.0,1
24.0,93.82,1
24.0,94.0,1
24.01,93.96,1
24.01,93.97,1
24.01,93.98,1
24.01,93.99,1
24.01,93.97,1
24.01,93.97,1
24.02,93.97,1
24.03,93.81,1
24.04,94.08,1
24.05,94.07,1
24.05,94.07,1
24.05,94.07,1
24.06,94.05,1
24.06,94.04,1
24.06,94.02,1
24.06,94.03,1
24.07,94.03,1
24.08,93.89,1
24.08,94.03,1
24.09,93.9,1
24.09,93.91,1
